Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
0,3.46E-03,-5.66E-05,1.83E-03,5.36E-01
1,3.54E-03,-1.62E-04,1.66E-03,5.68E-01
2,3.57E-03,3.31E-05,1.67E-03,5.61E-01
3,2.20E-03,-1.24E-03,1.28E-03,2.94E+00
4,2.29E-03,-1.25E-03,1.11E-03,2.87E+00
5,2.45E-03,-1.16E-03,1.18E-03,2.21E+00
6,2.38E-03,-1.12E-03,1.40E-03,1.69E+00
7,2.11E-03,-1.19E-03,1.46E-03,3.73E+00
8,2.24E-03,-1.07E-03,1.60E-03,2.02E+00
9,2.03E-03,-1.12E-03,1.62E-03,4.94E+00
10,2.17E-03,-9.84E-04,1.75E-03,2.47E+00
11,1.96E-03,-1.01E-03,1.78E-03,6.02E+00
12,2.10E-03,-8.80E-04,1.88E-03,2.98E+00
13,1.89E-03,-8.86E-04,1.91E-03,7.43E+00
14,2.04E-03,-7.46E-04,2.00E-03,3.54E+00
15,1.83E-03,-7.36E-04,2.03E-03,8.49E+00
16,1.99E-03,-5.95E-04,2.10E-03,3.79E+00
17,1.79E-03,-5.67E-04,2.13E-03,9.63E+00
18,1.95E-03,-4.32E-04,2.17E-03,4.33E+00
19,1.75E-03,-3.84E-04,2.20E-03,1.00E+01
20,1.93E-03,-2.54E-04,2.22E-03,4.58E+00
21,1.73E-03,-1.91E-04,2.24E-03,1.02E+01
22,1.92E-03,-6.93E-05,2.25E-03,4.87E+00
23,1.72E-03,7.74E-06,2.25E-03,1.19E+01
24,1.90E-03,1.02E-04,2.25E-03,6.19E+00
25,1.73E-03,2.06E-04,2.24E-03,1.20E+01
26,1.91E-03,2.86E-04,2.22E-03,5.53E+00
27,1.75E-03,4.00E-04,2.20E-03,1.10E+01
28,1.96E-03,4.75E-04,2.17E-03,5.10E+00
29,1.78E-03,5.85E-04,2.13E-03,9.94E+00
30,1.97E-03,6.32E-04,2.10E-03,4.28E+00
31,1.83E-03,7.55E-04,2.04E-03,8.32E+00
32,2.03E-03,7.87E-04,2.00E-03,3.73E+00
33,1.88E-03,9.08E-04,1.93E-03,7.46E+00
34,2.10E-03,9.20E-04,1.88E-03,3.63E+00
35,1.95E-03,1.04E-03,1.79E-03,6.00E+00
36,2.16E-03,1.03E-03,1.74E-03,2.82E+00
37,2.02E-03,1.14E-03,1.64E-03,4.89E+00
38,2.23E-03,1.12E-03,1.59E-03,2.08E+00
39,2.10E-03,1.22E-03,1.47E-03,3.92E+00
40,2.32E-03,1.17E-03,1.43E-03,1.82E+00
41,2.19E-03,1.27E-03,1.30E-03,3.26E+00
42,2.38E-03,1.21E-03,1.28E-03,1.90E+00
