Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
888,-1.26E-03,-1.31E-03,-5.58E-04,5.90E+00
889,-1.18E-03,-1.10E-03,-1.01E-03,6.24E+00
890,1.68E-03,9.08E-04,4.71E-05,4.52E+00
891,3.44E-04,1.62E-03,-9.69E-04,7.04E+00
892,-1.35E-03,6.66E-04,-1.18E-03,4.04E+00
893,-1.76E-03,-6.54E-04,-3.13E-04,4.21E+00
894,6.62E-04,1.24E-03,-1.31E-03,7.13E+00
895,1.41E-03,-1.20E-03,3.97E-04,6.45E+00
896,8.63E-04,1.48E-03,8.62E-04,1.43E+01
897,4.53E-04,-1.03E-03,1.53E-03,2.55E+01
898,4.44E-04,-1.15E-03,1.45E-03,2.55E+01
899,8.05E-04,-5.39E-04,1.64E-03,2.42E+01
900,8.49E-04,6.77E-04,1.58E-03,2.37E+01
901,1.67E-03,-9.14E-04,-3.01E-05,4.41E+00
902,-1.16E-03,-4.21E-04,-1.45E-03,3.00E+00
903,1.84E-03,1.85E-05,-4.93E-04,3.67E+00
904,1.82E-03,-3.37E-04,-4.50E-04,3.81E+00
905,1.85E-03,2.02E-04,-4.34E-04,4.15E+00
906,7.86E-04,5.09E-04,1.67E-03,2.50E+01
907,1.22E-03,-1.08E-04,-1.46E-03,8.34E-01
908,1.22E-03,1.36E-04,-1.46E-03,1.77E+00
909,-1.40E-03,-4.63E-04,-1.20E-03,3.35E+00
910,7.91E-04,-1.96E-04,1.72E-03,2.57E+01
911,1.61E-03,1.03E-03,1.36E-04,5.58E+00
912,1.31E-03,-6.51E-04,-1.21E-03,5.36E+00
913,1.83E-03,3.94E-04,-3.82E-04,4.05E+00
914,1.40E-03,1.22E-03,4.75E-04,7.09E+00
915,4.01E-04,1.70E-03,-7.97E-04,8.17E+00
916,7.09E-04,1.30E-03,1.22E-03,2.16E+01
917,-1.20E-03,-8.45E-04,-1.21E-03,5.04E+00
918,7.64E-04,1.76E-03,-1.03E-04,6.28E+00
919,-9.64E-04,-1.27E-03,-1.03E-03,5.99E+00
920,3.55E-04,1.43E-03,-1.23E-03,6.45E+00
921,1.48E-03,-1.41E-04,-1.20E-03,1.34E+00
922,-1.44E-03,6.31E-04,1.09E-03,2.32E+01
923,-1.36E-03,7.45E-04,1.12E-03,2.44E+01
924,1.33E-03,6.52E-04,-1.21E-03,5.45E+00
925,-1.71E-03,3.22E-04,7.79E-04,1.84E+01
926,1.41E-03,4.55E-04,-1.21E-03,4.33E+00
927,1.24E-04,1.46E-03,-1.24E-03,5.04E+00
928,-1.57E-04,1.22E-03,-1.47E-03,9.84E-01
929,-1.49E-03,2.69E-05,-1.20E-03,1.31E+00
930,1.78E-03,-6.65E-04,1.57E-04,5.96E+00
931,1.73E-03,-7.81E-04,-1.77E-04,3.87E+00
932,1.90E-03,9.39E-05,-9.68E-05,7.55E+00
933,-8.21E-05,9.18E-04,1.68E-03,1.51E+01
934,-1.38E-03,9.19E-04,-9.56E-04,4.32E+00
935,1.23E-03,1.11E-03,9.67E-04,1.25E+01
936,1.35E-03,1.05E-03,8.57E-04,1.10E+01
937,-9.70E-04,1.26E-03,-1.07E-03,5.11E+00
938,-1.00E-03,1.08E-03,-1.22E-03,4.65E+00
939,-1.63E-03,-4.36E-04,8.78E-04,2.01E+01
940,-1.53E-03,-6.29E-04,9.48E-04,2.12E+01
941,1.01E-03,-1.06E-03,-1.21E-03,7.18E+00
942,5.49E-04,-1.20E-03,1.37E-03,2.46E+01
943,-1.02E-03,-6.57E-04,1.46E-03,2.44E+01
944,-1.20E-03,-6.19E-04,1.34E-03,2.48E+01
945,6.72E-04,1.73E-03,-4.93E-04,8.22E+00
946,-1.08E-03,8.23E-04,1.35E-03,2.38E+01
947,1.68E-04,-1.72E-03,-7.79E-04,9.01E+00
948,-1.44E-03,4.78E-04,-1.17E-03,3.19E+00
949,9.00E-04,-7.51E-04,1.50E-03,2.20E+01
950,9.52E-04,-8.57E-04,1.41E-03,2.04E+01
951,7.10E-04,-1.29E-03,-1.20E-03,7.46E+00
952,8.21E-05,7.96E-04,1.74E-03,1.94E+01
953,-1.12E-03,-4.89E-04,1.46E-03,2.44E+01
954,-6.80E-04,5.73E-04,1.69E-03,1.56E+01
955,-1.79E-03,-6.24E-04,-1.54E-04,5.50E+00
956,-5.25E-04,-5.83E-04,1.73E-03,9.54E+00
957,-1.09E-03,1.26E-03,-9.53E-04,6.05E+00
958,1.39E-03,-1.15E-03,5.98E-04,8.44E+00
959,1.23E-03,8.23E-04,-1.21E-03,6.18E+00
960,8.66E-04,-9.96E-04,1.37E-03,2.09E+01
961,1.53E-04,-1.64E-03,-9.41E-04,7.59E+00
962,-1.69E-03,8.50E-04,-2.85E-04,4.08E+00
963,-1.75E-03,7.55E-04,-1.65E-04,4.97E+00
964,9.89E-04,1.08E-03,-1.24E-03,6.98E+00
965,1.90E-03,-1.08E-04,-1.62E-04,6.25E+00
966,-1.21E-03,-2.13E-04,-1.46E-03,1.75E+00
967,-1.78E-03,3.38E-04,6.08E-04,1.56E+01
968,7.90E-04,1.70E-03,-4.35E-04,7.60E+00
969,1.61E-03,-9.99E-04,1.40E-04,5.44E+00
970,5.78E-05,-8.09E-04,1.72E-03,2.05E+01
971,-1.29E-03,-4.35E-04,1.33E-03,2.49E+01
972,3.34E-04,-1.20E-03,1.43E-03,2.51E+01
973,1.10E-03,-8.86E-04,-1.27E-03,6.79E+00
974,2.74E-04,-1.17E-03,-1.47E-03,5.76E+00
975,-1.79E-03,-5.31E-04,3.81E-04,1.28E+01
976,-1.80E-03,-5.78E-04,2.01E-04,1.02E+01
977,-1.27E-03,8.62E-04,-1.14E-03,4.59E+00
978,-6.34E-04,-1.50E-03,-9.69E-04,4.85E+00
979,6.09E-04,1.38E-03,-1.18E-03,6.86E+00
980,1.13E-04,-1.10E-03,1.55E-03,2.10E+01
981,-1.21E-03,1.18E-03,-9.02E-04,5.68E+00
982,1.80E-03,6.23E-04,-2.02E-04,3.25E+00
983,5.21E-04,-1.36E-03,-1.22E-03,7.31E+00
984,-1.53E-03,1.12E-03,-2.76E-04,4.69E+00
985,8.78E-04,-1.19E-03,-1.19E-03,7.38E+00
986,1.73E-03,-7.38E-04,3.10E-04,7.30E+00
987,8.10E-04,-3.65E-04,1.69E-03,2.50E+01
988,1.39E-03,-4.44E-04,-1.23E-03,4.07E+00
989,7.56E-04,-1.67E-03,-4.76E-04,7.72E+00
990,-4.83E-05,1.80E-03,-6.63E-04,1.05E+01
991,-1.73E-03,-7.56E-04,-1.98E-04,5.24E+00
992,-7.47E-04,-1.25E-03,-1.22E-03,3.72E+00
993,1.58E-03,1.05E-03,2.57E-04,6.57E+00
994,5.93E-04,-9.70E-04,1.52E-03,2.45E+01
995,1.16E-03,-1.27E-03,8.09E-04,1.05E+01
996,1.20E-03,-1.14E-03,9.40E-04,1.19E+01
997,1.08E-03,-1.23E-03,9.64E-04,1.34E+01
998,1.79E-03,-5.92E-04,-2.32E-04,4.13E+00
999,1.83E-03,-4.42E-04,-2.83E-04,4.49E+00
1000,-1.73E-03,8.29E-04,-3.11E-05,6.64E+00
1001,1.12E-03,9.65E-04,-1.22E-03,6.70E+00
1002,3.44E-04,-1.81E-03,-4.59E-04,1.11E+01
1003,-1.79E-03,6.52E-04,1.85E-04,9.34E+00
1004,-7.93E-04,-5.34E-04,1.65E-03,1.83E+01
1005,-6.70E-04,-6.48E-04,1.66E-03,1.49E+01
1006,7.77E-04,-1.55E-03,7.68E-04,1.26E+01
1007,-1.12E-03,8.79E-04,-1.28E-03,4.55E+00
1008,7.62E-04,1.68E-03,5.32E-04,7.43E+00
1009,1.76E-03,7.37E-04,1.90E-04,5.39E+00
1010,-9.04E-04,-8.23E-04,1.46E-03,2.32E+01
1011,-1.31E-03,-1.14E-03,-7.82E-04,5.94E+00
1012,-1.33E-03,-6.72E-04,-1.18E-03,4.40E+00
1013,-1.58E-03,-7.75E-04,7.26E-04,1.99E+01
1014,8.35E-04,1.16E-03,-1.27E-03,6.98E+00
1015,8.62E-04,1.04E-03,-1.36E-03,7.26E+00
1016,1.53E-03,-9.26E-04,6.47E-04,1.02E+01
1017,-1.29E-03,4.80E-04,1.33E-03,2.46E+01
1018,-1.48E-04,1.49E-03,-1.20E-03,2.90E+00
1019,3.34E-04,1.83E-03,-4.67E-04,1.08E+01
1020,1.77E-03,7.10E-04,-1.35E-04,3.37E+00
1021,1.79E-03,-6.34E-04,-4.00E-05,4.75E+00
1022,-1.64E-03,8.83E-04,-4.55E-04,3.36E+00
1023,-1.83E-03,5.32E-04,8.25E-05,7.84E+00
1024,1.06E-03,9.19E-04,1.31E-03,1.82E+01
1025,-5.38E-04,7.65E-04,1.67E-03,1.33E+01
1026,4.48E-04,1.29E-03,-1.34E-03,6.88E+00
1027,-2.09E-04,-1.42E-03,-1.23E-03,2.39E+00
1028,1.17E-03,-9.21E-04,1.18E-03,1.51E+01
1029,1.08E-03,-1.10E-03,1.11E-03,1.55E+01
1030,1.28E-03,-1.22E-03,6.93E-04,8.70E+00
1031,-1.53E-03,-7.27E-04,8.70E-04,2.08E+01
1032,-1.29E-03,5.49E-04,-1.30E-03,3.56E+00
1033,-1.20E-03,7.01E-04,-1.32E-03,4.04E+00
1034,-1.62E-03,6.23E-04,8.12E-04,1.92E+01
1035,2.98E-04,1.20E-03,-1.46E-03,5.50E+00
1036,1.01E-03,-9.79E-04,1.27E-03,1.83E+01
1037,1.05E-03,1.41E-03,7.67E-04,1.13E+01
1038,1.12E-03,7.51E-04,1.36E-03,1.80E+01
1039,6.35E-04,1.10E-03,1.44E-03,2.44E+01
1040,8.91E-04,1.24E-03,1.16E-03,1.89E+01
1041,1.41E-03,1.10E-03,6.75E-04,9.38E+00
1042,1.54E-03,1.04E-03,4.52E-04,7.79E+00
1043,1.64E-03,9.32E-04,3.33E-04,7.20E+00
1044,1.67E-03,9.15E-04,2.17E-04,5.94E+00
1045,9.48E-04,5.41E-04,1.57E-03,2.26E+01
1046,4.24E-04,-1.81E-03,-3.57E-04,1.06E+01
1047,-1.43E-03,-2.93E-04,-1.22E-03,2.45E+00
1048,9.02E-05,-9.74E-04,1.63E-03,2.06E+01
1049,1.32E-03,-1.04E-03,8.87E-04,1.08E+01
1050,-3.20E-04,-1.52E-03,-1.09E-03,3.08E+00
1051,5.92E-04,-1.21E-03,-1.33E-03,7.41E+00
1052,6.41E-04,-1.08E-03,-1.42E-03,7.79E+00
1053,7.53E-04,-1.14E-03,-1.32E-03,7.38E+00
1054,4.56E-04,1.79E-03,-5.14E-04,9.61E+00
1055,8.72E-04,-9.07E-04,-1.42E-03,7.10E+00
1056,8.63E-04,1.69E-03,-2.84E-04,6.62E+00
1057,6.97E-04,-1.08E-03,1.40E-03,2.33E+01
1058,-3.43E-04,6.79E-04,1.76E-03,9.44E+00
1059,-3.01E-04,8.60E-04,1.68E-03,1.01E+01
1060,-1.70E-03,-8.02E-04,-3.15E-04,4.36E+00
1061,-1.09E-03,-1.22E-03,-9.58E-04,6.59E+00
1062,9.19E-04,8.27E-04,1.46E-03,2.13E+01
1063,5.00E-04,1.73E-03,-6.60E-04,8.79E+00
1064,-1.33E-03,1.10E-03,-8.36E-04,5.00E+00
1065,-8.25E-04,1.25E-03,-1.20E-03,4.02E+00
1066,-1.27E-04,1.63E-03,-1.00E-03,4.99E+00
1067,4.57E-04,-1.77E-03,-4.83E-04,9.76E+00
1068,1.28E-03,1.17E-03,8.14E-04,1.04E+01
1069,-1.72E-03,-6.35E-04,4.95E-04,1.43E+01
1070,-1.25E-03,-5.34E-04,-1.33E-03,3.70E+00
1071,-1.17E-03,-6.98E-04,-1.33E-03,4.26E+00
1072,-7.13E-04,1.40E-03,-1.11E-03,3.72E+00
1073,-6.29E-04,1.34E-03,-1.22E-03,2.51E+00
1074,-1.66E-03,4.57E-04,8.35E-04,1.94E+01
1075,-5.59E-04,1.48E-03,-1.09E-03,2.79E+00
1076,-1.65E-03,-8.34E-04,-4.37E-04,3.84E+00
1077,2.26E-04,1.70E-03,-8.69E-04,7.54E+00
1078,-1.52E-03,4.86E-04,1.06E-03,2.26E+01
1079,1.34E-03,-2.60E-04,-1.33E-03,2.51E+00
1080,-3.43E-04,-6.70E-04,1.75E-03,1.09E+01
1081,5.47E-04,-1.09E-03,1.46E-03,2.53E+01
1082,-1.40E-03,-7.00E-04,1.09E-03,2.32E+01
1083,-9.34E-04,-9.74E-04,-1.34E-03,4.45E+00
1084,-7.82E-04,-1.09E-03,-1.34E-03,3.67E+00
1085,1.27E-03,-1.15E-03,8.18E-04,9.93E+00
1086,-4.74E-04,-1.29E-03,-1.31E-03,1.12E+00
1087,-6.22E-04,-1.20E-03,-1.34E-03,2.26E+00
1088,-1.38E-03,1.16E-03,-6.57E-04,5.20E+00
1089,-1.46E-04,-7.43E-04,1.75E-03,1.62E+01
1090,6.68E-04,-1.25E-03,1.26E-03,2.26E+01
1091,8.69E-04,-1.15E-03,1.24E-03,1.97E+01
1092,-1.20E-03,-1.18E-03,-8.81E-04,6.43E+00
1093,-1.30E-04,7.43E-04,1.76E-03,1.33E+01
1094,-9.43E-04,-5.05E-04,1.58E-03,2.18E+01
1095,-1.71E-03,4.96E-04,6.93E-04,1.73E+01
1096,1.49E-03,-1.05E-03,5.25E-04,8.49E+00
1097,1.15E-03,1.26E-03,8.81E-04,1.21E+01
1098,9.36E-04,-6.03E-04,1.54E-03,2.23E+01
1099,-5.85E-04,-1.34E-03,-1.21E-03,2.33E+00
1100,1.01E-03,-1.34E-03,8.83E-04,1.30E+01
1101,1.09E-03,-1.51E-03,3.53E-04,4.40E+00
1102,5.68E-04,1.75E-03,-5.47E-04,8.82E+00
1103,1.70E-03,-8.46E-04,1.43E-04,5.54E+00
1104,-1.34E-03,-1.18E-03,-6.38E-04,5.46E+00
1105,9.42E-04,1.67E-03,-9.12E-05,5.10E+00
1106,1.06E-03,-1.40E-03,7.13E-04,9.48E+00
1107,9.38E-04,-1.45E-03,7.81E-04,1.18E+01
1108,1.09E-03,-1.46E-03,5.36E-04,6.75E+00
1109,-7.87E-05,-1.33E-03,-1.36E-03,2.70E+00
1110,-8.45E-04,1.38E-03,-1.03E-03,5.00E+00
1111,-7.15E-04,1.18E-03,-1.33E-03,3.08E+00
1112,1.88E-03,5.36E-05,-3.00E-04,5.51E+00
1113,1.05E-03,1.61E-03,9.14E-05,3.69E+00
1114,1.33E-03,2.93E-04,-1.34E-03,3.27E+00
1115,1.38E-03,3.13E-05,-1.32E-03,7.02E-01
1116,1.06E-03,-1.56E-03,1.65E-04,3.12E+00
1117,-1.41E-03,4.80E-04,1.20E-03,2.42E+01
1118,-2.76E-04,1.33E-03,-1.35E-03,5.05E-01
1119,-1.14E-03,1.31E-03,-8.15E-04,6.45E+00
1120,-1.05E-03,1.38E-03,-8.26E-04,6.88E+00
1121,-8.96E-04,5.49E-04,1.60E-03,1.97E+01
1122,-1.59E-03,5.09E-04,9.30E-04,2.10E+01
1123,-5.33E-04,-1.46E-03,-1.08E-03,3.03E+00
1124,-4.98E-04,-7.60E-04,1.67E-03,1.20E+01
1125,-1.80E-03,-6.07E-04,1.78E-05,7.55E+00
1126,-9.82E-05,-9.15E-04,1.66E-03,1.74E+01
1127,-8.20E-04,1.49E-03,-8.97E-04,6.12E+00
1128,9.45E-04,-1.26E-03,1.06E-03,1.63E+01
1129,-9.46E-04,1.39E-03,-9.23E-04,6.25E+00
1130,4.91E-04,-1.12E-03,-1.45E-03,7.34E+00
1131,5.70E-04,-1.76E-03,-4.14E-04,8.77E+00
1132,7.56E-04,-9.82E-04,-1.44E-03,7.62E+00
1133,-1.34E-03,6.31E-04,1.21E-03,2.45E+01
1134,1.07E-03,1.18E-03,1.07E-03,1.54E+01
1135,-4.07E-04,-1.40E-03,-1.22E-03,1.51E+00
1136,-3.55E-04,1.56E-03,-1.06E-03,2.82E+00
1137,1.18E-03,6.92E-04,-1.34E-03,6.01E+00
1138,1.26E-03,5.07E-04,-1.34E-03,4.93E+00
1139,-1.51E-03,-1.01E-03,-5.68E-04,4.44E+00
1140,-7.53E-04,1.04E-03,-1.42E-03,3.49E+00
1141,1.87E-03,-1.38E-04,-3.69E-04,4.55E+00
1142,-7.86E-04,7.29E-04,1.59E-03,1.78E+01
1143,-1.00E-03,6.88E-04,1.48E-03,2.16E+01
1144,-8.37E-04,-6.75E-04,1.57E-03,2.04E+01
1145,-1.06E-03,-8.39E-04,-1.34E-03,4.53E+00
1146,-1.40E-03,1.22E-03,-4.78E-04,4.75E+00
1147,-1.58E-03,-9.26E-04,-5.10E-04,3.94E+00
1148,9.79E-04,-1.55E-03,4.74E-04,5.80E+00
1149,-4.25E-04,1.42E-03,-1.22E-03,1.23E+00
1150,9.39E-04,-1.52E-03,6.28E-04,8.37E+00
1151,-3.00E-04,1.68E-03,-8.86E-04,5.35E+00
1152,9.74E-04,1.33E-03,9.75E-04,1.53E+01
1153,1.05E-03,7.23E-04,-1.42E-03,6.32E+00
1154,1.74E-03,-7.72E-04,1.08E-05,4.65E+00
1155,1.36E-03,-1.10E-03,7.51E-04,9.32E+00
1156,-1.35E-03,1.36E-04,-1.34E-03,1.53E+00
1157,-1.24E-03,7.86E-04,1.22E-03,2.52E+01
1158,-1.75E-03,-4.94E-04,5.60E-04,1.55E+01
1159,-1.19E-03,6.53E-04,1.35E-03,2.38E+01
1160,-1.78E-03,6.92E-04,1.09E-05,7.17E+00
1161,7.68E-04,-1.33E-03,1.12E-03,1.89E+01
1162,-1.37E-03,-1.21E-04,-1.32E-03,1.61E+00
1163,8.76E-04,-1.04E-03,-1.33E-03,7.19E+00
1164,5.84E-04,-1.39E-03,1.16E-03,2.16E+01
1165,6.74E-04,-1.48E-03,9.80E-04,1.81E+01
1166,8.58E-04,-1.41E-03,9.33E-04,1.53E+01
1167,9.51E-04,1.63E-03,3.61E-04,4.40E+00
1168,2.21E-04,1.83E-03,-5.30E-04,1.10E+01
1169,-6.36E-04,-1.04E-03,-1.45E-03,2.27E+00
1170,8.78E-04,9.34E-04,-1.42E-03,7.45E+00
1171,9.56E-04,8.26E-04,-1.44E-03,6.94E+00
1172,7.91E-04,1.39E-03,1.06E-03,1.81E+01
1173,1.45E-03,-1.04E-03,6.66E-04,9.67E+00
1174,-1.69E-03,-5.04E-04,7.16E-04,1.79E+01
1175,-4.53E-05,-1.07E-03,1.57E-03,1.78E+01
1176,1.67E-04,-1.32E-03,-1.36E-03,5.37E+00
1177,3.97E-04,-1.28E-03,-1.35E-03,7.08E+00
1178,6.08E-04,1.43E-03,1.13E-03,2.12E+01
1179,1.09E-03,8.34E-04,-1.34E-03,6.61E+00
1180,-1.30E-03,-3.50E-04,-1.35E-03,2.70E+00
1181,-1.45E-03,-7.67E-04,9.64E-04,2.17E+01
1182,9.17E-04,1.56E-03,6.41E-04,9.67E+00
1183,9.85E-04,9.48E-04,-1.34E-03,7.04E+00
1184,3.60E-04,1.78E-03,-6.16E-04,9.58E+00
1185,-1.61E-03,-6.21E-04,8.00E-04,1.96E+01
1186,-1.53E-03,1.08E-03,-4.05E-04,4.37E+00
1187,-1.23E-03,1.67E-05,-1.46E-03,4.39E-01
1188,-1.67E-03,-6.41E-04,6.45E-04,1.70E+01
1189,-1.45E-03,1.21E-03,-3.36E-04,3.98E+00
1190,8.52E-04,1.72E-03,1.23E-04,3.76E+00
1191,7.38E-04,1.75E-03,2.99E-04,3.66E+00
